x,sin(x),Taylor_1,Taylor_3,Taylor_5,Taylor_7,Taylor_9
-10.00000000,0.54402111,-10.00000000,156.66666667,-676.66666667,1307.46031746,-1448.27160494
-9.98999500,0.53559911,-9.98999500,156.17692188,-672.99599374,1297.27679246,-1433.74020979
-9.97998999,0.52712350,-9.97998999,155.68817709,-669.34095415,1287.16063454,-1419.33867270
-9.96998499,0.51859512,-9.96998499,155.20043130,-665.70149897,1277.11147783,-1405.06598106
-9.95997999,0.51001483,-9.95997999,154.71368350,-662.07757937,1267.12895802,-1390.92112892
-9.94997499,0.50138349,-9.94997499,154.22793270,-658.46914662,1257.21271235,-1376.90311704
-9.93996998,0.49270196,-9.93996998,153.74317789,-654.87615212,1247.36237963,-1363.01095279
-9.92996498,0.48397111,-9.92996498,153.25941807,-651.29854732,1237.57760018,-1349.24365016
-9.91995998,0.47519181,-9.91995998,152.77665225,-647.73628381,1227.85801590,-1335.60022968
-9.90995498,0.46636495,-9.90995498,152.29487941,-644.18931327,1218.20327019,-1322.07971843
-9.89994997,0.45749141,-9.89994997,151.81409856,-640.65758746,1208.61300801,-1308.68114995
-9.88994497,0.44857207,-9.88994497,151.33430870,-637.14105827,1199.08687583,-1295.40356426
-9.87993997,0.43960783,-9.87993997,150.85550882,-633.63967765,1189.62452164,-1282.24600779
-9.86993497,0.43059959,-9.86993497,150.37769792,-630.15339770,1180.22559496,-1269.20753335
-9.85992996,0.42154824,-9.85992996,149.90087500,-626.68217057,1170.88974680,-1256.28720010
-9.84992496,0.41245470,-9.84992496,149.42503907,-623.22594854,1161.61662971,-1243.48407354
-9.83991996,0.40331987,-9.83991996,148.95018911,-619.78468397,1152.40589770,-1230.79722540
-9.82991496,0.39414467,-9.82991496,148.47632413,-616.35832934,1143.25720631,-1218.22573370
-9.81990995,0.38493002,-9.81990995,148.00344312,-612.94683720,1134.17021256,-1205.76868264
-9.80990495,0.37567683,-9.80990495,147.53154509,-609.55016023,1125.14457496,-1193.42516262
